date,route_id,route_status,origin_country,destination_country,shipping_method,trade_route_type,distance_km,estimated_transit_days,shipping_delay_days,port_congestion_index,container_availability_index,weather_disruption_score,geopolitical_risk_score,trade_volume_tonnes,freight_cost_usd,carbon_emissions_tonnes,origin_active_event_count,origin_active_event_risk,destination_active_event_count,destination_active_event_risk,covid_supply_shock_active,russia_ukraine_war_active,events_warmup,fuel_cost_index,commodity_price_index,natural_gas_price,steel_price,wheat_price,copper_price,origin_region,origin_event_region,origin_income_group,origin_port_capacity_index,origin_logistics_performance_index,origin_trade_dependency_score,origin_gdp_per_capita,origin_population,origin_iso3,destination_region,destination_event_region,destination_income_group,destination_port_capacity_index,destination_logistics_performance_index,destination_trade_dependency_score,destination_gdp_per_capita,destination_population,destination_iso3
04/05/2015,R1,Delayed,India,United States,Rail,Consumer Goods,8746,19,6.71,11.39,50.35,70.43,99.3,5934.5,4389.18,2595.16,35,698.73,28,637.58,0,0,1,50.43,14.7,2.352460614,529.3142752,220.1284454,6334.209888,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
04/12/2015,R1,Normal,India,United States,Rail,Consumer Goods,8746,19,0.91,36.47,78.76,3.43,42.48,9283.62,4287.2,4059.73,36,701.84,29,655.89,0,0,1,51.38,30.58,2.83210765,594.4386969,211.2722822,6931.060111,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
04/19/2015,R1,Delayed,India,United States,Rail,Consumer Goods,8746,19,5.3,64.63,98.29,57.26,3.41,11585.79,4462.2,5066.47,35,669.24,30,709.41,0,0,1,57.19,37.89,3.834510763,554.8046179,217.8078039,6744.57807,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
04/26/2015,R1,Normal,India,United States,Rail,Consumer Goods,8746,19,4.62,8.52,57.39,6.75,85.23,6764.1,4414.76,2957.94,36,741.11,30,707.53,0,0,1,54.94,33.64,2.870204324,563.2235029,218.2327408,7052.563426,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
05/03/2015,R1,Delayed,India,United States,Rail,Consumer Goods,8746,19,8.5,47.62,79.94,87.48,40.11,9422.96,4591.87,4120.66,33,716.92,32,725.49,0,0,1,61.57,53.93,2.248428523,661.8046588,212.5997794,7895.577701,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
05/10/2015,R1,Delayed,India,United States,Rail,Consumer Goods,8746,19,7.77,79.02,88.81,53.12,22.38,10468.24,4485.7,4577.76,32,695.77,35,788.5,0,0,1,55.46,45.94,2.877128468,654.565506,214.8240787,7110.2445,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
05/17/2015,R1,Delayed,India,United States,Rail,Consumer Goods,8746,19,6.3,12.3,64.75,91.6,70.49,7632.47,4418.39,3337.68,36,764.23,35,753.86,0,0,1,52.94,47.16,2.863638215,630.456906,251.9729434,6905.941094,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
05/24/2015,R1,Normal,India,United States,Rail,Consumer Goods,8746,19,0.0,24.62,96.57,0.96,6.86,11382.54,4508.32,4977.59,36,768.58,35,767.11,0,0,1,67.33,47.22,1.651556679,545.3843618,231.218389,7276.540451,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
05/31/2015,R1,Normal,India,United States,Rail,Consumer Goods,8746,19,2.85,0.03,80.58,13.76,38.84,9498.04,4438.37,4153.49,39,819.73,36,770.31,0,0,1,58.87,42.81,2.972852567,584.1795775,214.0903936,7144.806366,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
06/07/2015,R1,Delayed,India,United States,Rail,Consumer Goods,8746,19,8.29,4.67,57.41,29.45,85.18,6767.1,4569.34,2959.25,38,748.47,37,853.14,0,0,1,60.34,59.33,2.884532735,660.654885,233.9390881,7126.028347,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
06/14/2015,R1,Normal,India,United States,Rail,Consumer Goods,8746,19,2.8,6.75,80.29,42.2,39.43,9463.41,4347.62,4138.35,39,725.56,37,834.1,0,0,1,52.88,46.65,3.348103182,607.0858457,213.3236102,7182.055178,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
06/21/2015,R1,Delayed,India,United States,Rail,Consumer Goods,8746,19,10.55,0.78,55.23,88.61,89.53,6510.53,4568.51,2847.05,40,777.13,41,950.41,0,0,1,57.28,77.64,3.924478047,715.966477,243.4624928,7616.963069,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
06/28/2015,R1,Normal,India,United States,Rail,Consumer Goods,8746,19,4.8,17.17,63.16,64.86,73.68,7444.46,4502.71,3255.46,43,851.59,45,986.1,0,0,1,60.55,50.83,3.563282515,619.665892,227.3928438,6660.733469,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
07/05/2015,R1,Delayed,India,United States,Rail,Consumer Goods,8746,19,5.92,45.64,71.06,15.56,57.87,8376.2,4430.45,3662.91,49,972.37,47,1058.39,0,0,1,54.25,42.08,2.865555655,609.6024558,217.8539571,7142.089623,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
07/12/2015,R1,Delayed,India,United States,Rail,Consumer Goods,8746,19,11.71,99.45,74.56,95.48,50.88,8788.25,4660.81,3843.1,50,978.05,48,1108.65,0,0,1,61.88,35.65,2.446737046,584.5441768,228.9543385,6722.085661,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
07/19/2015,R1,Normal,India,United States,Rail,Consumer Goods,8746,19,0.0,2.83,57.22,5.15,85.56,6744.24,4353.35,2949.26,51,974.59,47,1116.07,0,0,1,57.0,47.89,4.286679902,606.6770452,188.582477,7166.653794,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
07/26/2015,R1,Normal,India,United States,Rail,Consumer Goods,8746,19,2.48,28.18,96.36,28.45,7.28,11357.84,4426.16,4966.78,52,985.78,47,1141.48,0,0,1,58.54,30.29,3.029609217,592.3765082,197.4646506,6724.394047,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
08/02/2015,R1,Delayed,India,United States,Rail,Consumer Goods,8746,19,5.86,64.48,80.74,30.3,38.52,9516.77,4470.5,4161.68,50,959.63,48,1159.83,0,0,1,56.99,36.77,3.006964646,635.4054338,196.1214999,6874.789956,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
08/09/2015,R1,Delayed,India,United States,Rail,Consumer Goods,8746,19,6.52,11.42,77.47,86.4,45.05,9131.88,4667.74,3993.37,52,996.66,49,1211.48,0,0,1,69.26,57.96,2.987937456,647.8351158,222.8588619,6911.473026,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
08/16/2015,R1,Normal,India,United States,Rail,Consumer Goods,8746,19,0.29,89.5,92.66,4.14,14.69,10921.43,4403.18,4775.94,53,1001.63,51,1285.59,0,0,1,59.93,57.16,3.09904238,560.700527,254.6503,7292.745016,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
08/23/2015,R1,Delayed,India,United States,Rail,Consumer Goods,8746,19,6.1,74.03,67.72,60.01,64.56,7982.1,4441.06,3490.57,51,960.53,52,1305.34,0,0,1,54.71,47.38,2.927819794,533.4383523,264.6260029,7275.536333,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
08/30/2015,R1,Normal,India,United States,Rail,Consumer Goods,8746,19,0.39,78.59,92.63,0.12,14.74,10918.37,4467.82,4774.6,53,979.43,51,1225.58,0,0,1,64.11,35.78,2.713168997,508.1897313,232.761022,6626.284787,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
09/06/2015,R1,Delayed,India,United States,Rail,Consumer Goods,8746,19,7.06,50.21,73.89,92.79,52.22,8709.65,4448.0,3808.73,56,1086.17,53,1283.83,0,0,1,53.9,42.84,2.726570529,625.3995663,230.0168895,7016.480233,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
09/13/2015,R1,Delayed,India,United States,Rail,Consumer Goods,8746,19,5.52,89.74,88.05,7.61,23.9,10378.29,4524.53,4538.43,58,1113.94,55,1339.24,0,0,1,61.04,26.61,2.983623365,544.8316697,183.9788453,6787.126044,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
09/20/2015,R1,Normal,India,United States,Rail,Consumer Goods,8746,19,4.49,71.85,86.99,11.39,26.01,10253.9,4341.22,4484.03,61,1175.28,60,1462.9,0,0,1,50.2,14.86,2.728287614,492.3554704,209.146524,6622.448527,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
09/27/2015,R1,Delayed,India,United States,Rail,Consumer Goods,8746,19,5.64,41.82,53.39,41.98,93.22,6292.88,4411.66,2751.88,60,1191.98,64,1513.26,0,0,1,53.36,29.81,2.643577109,619.4289302,204.244325,6934.894885,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
10/04/2015,R1,Normal,India,United States,Rail,Consumer Goods,8746,19,3.79,74.58,92.3,46.13,15.4,10879.17,4488.94,4757.46,63,1313.64,64,1533.99,0,0,1,60.98,50.64,3.053215114,724.6499759,207.583048,6907.455163,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
10/11/2015,R1,Delayed,India,United States,Rail,Consumer Goods,8746,19,7.7,51.27,92.96,78.45,14.08,10957.16,4607.83,4791.57,63,1365.73,66,1581.23,0,0,1,63.69,57.0,2.872511391,599.6964544,216.6371236,7728.014946,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
10/18/2015,R1,Delayed,India,United States,Rail,Consumer Goods,8746,19,9.05,75.48,90.94,62.24,18.12,10718.96,4592.33,4687.4,67,1537.68,65,1540.92,0,0,1,60.86,58.88,3.751996494,641.9245387,210.5581884,7129.887948,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
10/25/2015,R1,Delayed,India,United States,Rail,Consumer Goods,8746,19,11.52,88.73,73.48,69.75,53.03,8661.61,4620.03,3787.72,67,1581.1,67,1602.94,0,0,1,59.42,19.27,1.674515096,604.0914679,180.4140038,6586.71475,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
11/01/2015,R1,Delayed,India,United States,Rail,Consumer Goods,8746,19,6.01,34.09,57.31,14.62,85.38,6755.22,4496.01,2954.06,67,1618.39,68,1621.24,0,0,1,58.49,50.8,3.545753426,595.0555173,234.9582051,6830.567799,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
11/08/2015,R1,Delayed,India,United States,Rail,Consumer Goods,8746,19,8.7,84.04,87.41,49.98,25.19,10302.62,4461.59,4505.33,67,1591.04,71,1636.99,0,0,1,52.61,51.53,3.623042596,645.9538241,198.5451395,7306.414989,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
11/15/2015,R1,Normal,India,United States,Rail,Consumer Goods,8746,19,4.9,89.48,84.51,16.35,30.99,9960.82,4442.5,4355.87,65,1520.76,70,1590.38,0,0,1,56.4,41.53,1.963304884,585.4862728,224.7849373,7626.532832,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
11/22/2015,R1,Delayed,India,United States,Rail,Consumer Goods,8746,19,9.74,82.77,77.22,97.27,45.56,9102.01,4558.6,3980.31,64,1495.32,74,1720.09,0,0,1,57.7,43.13,2.828656203,613.3696157,261.4816534,6524.205006,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
11/29/2015,R1,Disrupted,India,United States,Rail,Consumer Goods,8746,19,13.26,51.81,50.6,85.32,98.8,5964.25,4742.88,2608.17,61,1409.89,77,1787.64,0,0,1,65.29,36.71,2.814279567,616.0848903,201.6123082,6436.022684,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
12/06/2015,R1,Normal,India,United States,Rail,Consumer Goods,8746,19,3.65,67.65,87.72,13.35,24.57,10339.24,4497.09,4521.35,65,1496.47,77,1794.78,0,0,1,61.72,35.91,2.296244153,566.5954773,169.3942495,7561.289553,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
12/13/2015,R1,Normal,India,United States,Rail,Consumer Goods,8746,19,1.07,4.63,78.61,36.75,42.77,9266.21,4287.52,4052.11,69,1588.46,82,1942.01,0,0,1,51.18,39.71,2.611091656,649.6021175,214.2799156,7116.884253,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
12/20/2015,R1,Delayed,India,United States,Rail,Consumer Goods,8746,19,6.72,46.69,84.91,95.19,30.18,10008.25,4557.21,4376.61,70,1676.43,84,1981.71,0,0,1,61.62,40.64,2.444712077,591.2520122,242.0191927,6739.51218,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
12/27/2015,R1,Delayed,India,United States,Rail,Consumer Goods,8746,19,6.57,78.3,88.82,28.71,22.36,10469.13,4500.82,4578.15,73,1735.71,86,2003.71,0,0,1,58.07,59.3,3.876135222,562.212742,259.1669491,7160.388726,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
01/03/2016,R1,Delayed,India,United States,Rail,Consumer Goods,8746,19,5.11,32.43,80.26,24.77,39.48,9460.43,4449.76,4137.05,72,1780.41,88,2054.11,0,0,0,56.62,34.76,3.467839197,626.8254922,195.4090081,6209.275678,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
01/10/2016,R1,Delayed,India,United States,Rail,Consumer Goods,8746,19,10.95,71.72,97.72,74.37,4.56,11518.49,4663.24,5037.04,73,1787.64,87,2013.86,0,0,0,63.06,54.19,3.635777547,555.0766009,229.9339845,7001.012652,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
01/17/2016,R1,Normal,India,United States,Rail,Consumer Goods,8746,19,3.7,21.52,70.12,13.39,59.77,8264.67,4549.72,3614.14,73,1831.21,85,1979.33,0,0,0,65.15,55.5,3.360836032,601.4090579,210.6937909,7098.346352,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
01/24/2016,R1,Delayed,India,United States,Rail,Consumer Goods,8746,19,10.08,17.29,53.76,96.37,92.47,6337.09,4669.91,2771.21,76,1916.21,85,1944.25,0,0,0,64.66,49.9,2.435474114,599.5440502,217.8810329,7277.281042,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
01/31/2016,R1,Normal,India,United States,Rail,Consumer Goods,8746,19,2.77,38.9,89.68,80.1,20.63,10571.1,4390.91,4622.74,73,1844.03,88,2014.53,0,0,0,55.8,46.39,2.737739867,654.2947783,272.8868669,6695.831214,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
02/07/2016,R1,Delayed,India,United States,Rail,Consumer Goods,8746,19,7.11,57.48,61.59,56.12,76.82,7259.68,4517.41,3174.66,68,1701.53,87,2009.23,0,0,0,58.45,43.0,3.244687281,623.7349116,189.9405934,7025.706148,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
02/14/2016,R1,Delayed,India,United States,Rail,Consumer Goods,8746,19,5.32,34.51,54.42,52.79,91.16,6414.49,4529.62,2805.06,67,1664.58,88,2060.04,0,0,0,61.66,35.91,2.388936096,598.7486521,225.0747932,6722.372612,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
02/21/2016,R1,Normal,India,United States,Rail,Consumer Goods,8746,19,1.21,22.08,93.9,12.04,12.2,11068.25,4495.86,4840.15,66,1632.15,88,2046.25,0,0,0,64.88,66.42,3.356499215,640.888315,229.3538634,7076.615127,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
02/28/2016,R1,Delayed,India,United States,Rail,Consumer Goods,8746,19,5.68,34.97,82.17,45.89,35.66,9685.44,4476.04,4235.44,66,1612.21,86,1994.91,0,0,0,57.6,49.62,2.879837301,669.5103775,241.7157265,6731.396103,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
03/06/2016,R1,Normal,India,United States,Rail,Consumer Goods,8746,19,4.98,98.23,91.62,60.78,16.76,10798.99,4484.1,4722.4,68,1655.16,84,1911.51,0,0,0,59.07,43.42,2.812589596,627.8905153,221.9596631,6877.569748,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
03/13/2016,R1,Normal,India,United States,Rail,Consumer Goods,8746,19,1.23,3.39,96.33,83.4,7.33,11354.89,4340.08,4965.5,65,1567.51,86,1953.49,0,0,0,54.47,40.42,3.355479984,600.517631,226.1610108,6701.255382,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
03/20/2016,R1,Delayed,India,United States,Rail,Consumer Goods,8746,19,7.6,0.28,66.84,23.05,66.31,7878.75,4460.63,3445.38,63,1504.33,85,1933.22,0,0,0,54.02,37.86,3.222131656,534.4081884,212.1670287,7195.340873,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
03/27/2016,R1,Normal,India,United States,Rail,Consumer Goods,8746,19,4.41,17.08,51.39,44.08,97.22,6057.2,4547.54,2648.81,65,1518.09,81,1800.02,0,0,0,64.06,49.9,2.819516917,546.7443168,225.3825388,7257.535335,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
04/03/2016,R1,Normal,India,United States,Rail,Consumer Goods,8746,19,2.23,27.72,86.36,51.03,27.28,10179.48,4544.74,4451.49,67,1555.25,79,1763.69,0,0,0,66.78,52.49,3.579664902,584.7387648,213.1361545,6929.613829,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
04/10/2016,R1,Delayed,India,United States,Rail,Consumer Goods,8746,19,7.51,26.11,69.73,96.63,60.55,8218.68,4543.27,3594.03,66,1562.94,80,1865.18,0,0,0,59.64,38.91,2.459468336,569.5243899,232.4314378,7011.471398,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
04/17/2016,R1,Delayed,India,United States,Rail,Consumer Goods,8746,19,5.72,33.09,64.99,49.16,70.03,7659.89,4588.12,3349.67,68,1576.27,80,1841.65,0,0,0,65.02,43.39,3.307967803,590.6514349,212.6077933,6565.422576,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
04/24/2016,R1,Delayed,India,United States,Rail,Consumer Goods,8746,19,7.87,60.03,83.19,62.58,33.63,9805.26,4583.02,4287.84,67,1577.56,79,1829.32,0,0,0,61.81,52.65,3.296550629,602.8324962,227.5420079,6910.097006,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
05/01/2016,R1,Normal,India,United States,Rail,Consumer Goods,8746,19,4.97,27.22,72.84,54.4,54.32,8585.53,4449.36,3754.45,64,1529.32,76,1777.6,0,0,0,56.77,42.81,2.84522678,626.4846377,219.4147437,6984.938615,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
